ID_Cliente,Idade,Grau_escolaridade,Estado_civil,Tamanho_familia,Categoria_de_renda,Ocupacao,Anos_empregado,Rendimento_anual,Tem_carro,Moradia,Faixa_etaria,Potencial_investimento,Rendimento_mensal
5009694,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009695,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009698,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009699,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009700,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5090752,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
6153678,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5010258,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010259,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010261,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010262,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010263,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010264,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010265,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010266,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010268,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010269,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010270,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010271,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010272,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010273,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010274,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010275,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010276,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010277,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010278,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010279,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010280,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010281,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010282,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
6153649,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010385,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010386,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010387,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010388,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010389,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010390,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010391,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
6153782,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
6153783,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5018417,38,Ensino superior,Divorciado,3,Associado comercial,Vendas,14,697500.0,1,Casa/apartamento próprio,35-50,Alto,58125.0
5018418,38,Ensino superior,Divorciado,3,Associado comercial,Vendas,14,697500.0,1,Casa/apartamento próprio,35-50,Alto,58125.0
5018444,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018445,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018446,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018447,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018448,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
