ID_Cliente,Idade,Grau_escolaridade,Estado_civil,Tamanho_familia,Categoria_de_renda,Ocupacao,Anos_empregado,Rendimento_anual,Tem_carro,Moradia,Faixa_etaria,Potencial_investimento,Rendimento_mensal
5009092,33,Ensino superior,Casado,3,Empregado,Gerência,3,765000.0,1,Casa/apartamento próprio,25-35,Alto,63750.0
5009094,33,Ensino superior,Casado,3,Empregado,Gerência,3,765000.0,1,Casa/apartamento próprio,25-35,Alto,63750.0
5009095,33,Ensino superior,Casado,3,Empregado,Gerência,3,765000.0,1,Casa/apartamento próprio,25-35,Alto,63750.0
6153741,33,Ensino superior,Casado,3,Empregado,Gerência,3,765000.0,1,Casa/apartamento próprio,25-35,Alto,63750.0
5009359,52,Ensino superior,Solteiro,1,Empregado,Gerência,20,900000.0,1,Casa/apartamento próprio,50 >,Alto,75000.0
5009360,52,Ensino superior,Solteiro,1,Empregado,Gerência,20,900000.0,1,Casa/apartamento próprio,50 >,Alto,75000.0
5009694,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009695,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009698,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009699,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5009700,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5090752,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
6153678,35,Ensino superior,Casado,2,Associado comercial,Gerência,4,1350000.0,1,Habitação pública ,35-50,Alto,112500.0
5010258,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010259,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010261,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010262,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010263,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010264,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010265,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010266,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010268,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010269,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010270,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010271,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010272,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010273,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010274,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010275,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010276,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010277,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010278,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010279,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010280,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010281,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010282,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
6153649,37,Ensino superior incompleto,Casado,3,Empregado,Outro,15,562500.0,0,Casa/apartamento próprio,35-50,Alto,46875.0
5010385,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010386,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010387,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010388,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010389,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010390,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010391,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
6153782,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
6153783,37,Ensino superior,Casado,2,Associado comercial,Gerência,6,540000.0,1,Casa/apartamento próprio,35-50,Alto,45000.0
5010468,32,Ensino superior,Casado,2,Servidor público,Alta tecnologia,6,675000.0,1,Casa/apartamento próprio,25-35,Alto,56250.0
5010470,32,Ensino superior,Casado,2,Servidor público,Alta tecnologia,6,675000.0,1,Casa/apartamento próprio,25-35,Alto,56250.0
5010471,32,Ensino superior,Casado,2,Servidor público,Alta tecnologia,6,675000.0,1,Casa/apartamento próprio,25-35,Alto,56250.0
5010472,32,Ensino superior,Casado,2,Servidor público,Alta tecnologia,6,675000.0,1,Casa/apartamento próprio,25-35,Alto,56250.0
5018417,38,Ensino superior,Divorciado,3,Associado comercial,Vendas,14,697500.0,1,Casa/apartamento próprio,35-50,Alto,58125.0
5018418,38,Ensino superior,Divorciado,3,Associado comercial,Vendas,14,697500.0,1,Casa/apartamento próprio,35-50,Alto,58125.0
5018444,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018445,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018446,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018447,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018448,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018450,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018451,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018452,43,Ensino superior,Casado,3,Associado comercial,Vendas,3,675000.0,0,Casa/apartamento próprio,35-50,Alto,56250.0
5018492,44,Ensino superior,Casado,3,Empregado,Gerência,12,675000.0,1,Casa/apartamento próprio,35-50,Alto,56250.0
5018493,44,Ensino superior,Casado,3,Empregado,Gerência,12,675000.0,1,Casa/apartamento próprio,35-50,Alto,56250.0
5018495,44,Ensino superior,Casado,3,Empregado,Gerência,12,675000.0,1,Casa/apartamento próprio,35-50,Alto,56250.0
5021196,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
5021197,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
5021201,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
5021202,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
5021203,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
5021204,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
5021205,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
6423544,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
6423545,51,Ensino médio,União-estável,2,Associado comercial,Outro,2,675000.0,1,Casa/apartamento próprio,50 >,Alto,56250.0
5021718,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021719,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021720,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021721,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021722,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021723,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021724,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021725,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021726,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021727,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5021728,48,Ensino médio,Casado,3,Empregado,Outro,1,630000.0,1,Casa/apartamento próprio,35-50,Alto,52500.0
5022504,45,Ensino superior,Casado,3,Associado comercial,Gerência,6,720000.0,0,Casa/apartamento próprio,35-50,Alto,60000.0
5022505,45,Ensino superior,Casado,3,Associado comercial,Gerência,6,720000.0,0,Casa/apartamento próprio,35-50,Alto,60000.0
5022506,45,Ensino superior,Casado,3,Associado comercial,Gerência,6,720000.0,0,Casa/apartamento próprio,35-50,Alto,60000.0
5023342,50,Ensino médio,Casado,2,Empregado,Gerência,5,900000.0,1,Casa/apartamento próprio,50 >,Alto,75000.0
5023345,50,Ensino médio,Casado,2,Empregado,Gerência,5,900000.0,1,Casa/apartamento próprio,50 >,Alto,75000.0
5023347,50,Ensino médio,Casado,2,Empregado,Gerência,5,900000.0,1,Casa/apartamento próprio,50 >,Alto,75000.0
5023348,50,Ensino médio,Casado,2,Empregado,Gerência,5,900000.0,1,Casa/apartamento próprio,50 >,Alto,75000.0
5023350,50,Ensino médio,Casado,2,Empregado,Gerência,5,900000.0,1,Casa/apartamento próprio,50 >,Alto,75000.0
5023833,51,Ensino médio,Casado,2,Associado comercial,Gerência,3,540000.0,0,Casa/apartamento próprio,50 >,Alto,45000.0
6790425,51,Ensino médio,Casado,2,Associado comercial,Gerência,3,540000.0,0,Casa/apartamento próprio,50 >,Alto,45000.0
